no,questions,expected
1,What are the key influencing factors of mercury methylation,MPU|EEM
2,Measurement methods and quality control of mercury concentration,EEM
3,Hazard mechanisms and exposure pathways of mercury pollution,MPU|EEM
4,"How was the experimental design established, and how were the experimental groups and control groups set up?",EEM
5,What mercury detection methods and quality control methods were adopted in the article?,EEM|EBM
6,"If mentioned, the regulatory effects of different agricultural management measures and tillage practices on mercury migration and transformation",EEM|MPU
7,Proposed control measures for mercury pollution,EBM
8,"Which samples were determined (e.g., soil, plant roots, stems, leaves, grains)? What are the respective concentrations of total mercury and methylmercury in each sample?",EBM
9,What is the historical background of the study area? Does it have a history of mercury contamination or other heavy metal pollution?,MPU|EBM
10,"How was the experimental design established, and how were the experimental groups and control groups set up?",EEM|EBM
